iter	Accuracy	Logloss
377	0.9872306464	0.08495998154
378	0.9872306464	0.08494836392
379	0.9872306464	0.08459932977
380	0.9872306464	0.08441394705
381	0.9872306464	0.08405503062
382	0.9872306464	0.08364544234
383	0.9872306464	0.08346494293
384	0.9872306464	0.08344969631
385	0.988028731	0.083010997
386	0.988028731	0.08300541956
387	0.988028731	0.0823714735
388	0.988028731	0.08232961839
389	0.988028731	0.08193056391
390	0.988028731	0.08148731009
391	0.988028731	0.08147501051
392	0.988028731	0.08142331573
393	0.988028731	0.08134670516
394	0.988028731	0.08104619957
395	0.988028731	0.08066428535
396	0.988028731	0.08034190842
397	0.988028731	0.08024443728
398	0.988028731	0.08017889633
399	0.988028731	0.07979762754
400	0.988028731	0.0796560971
401	0.988028731	0.07932639522
402	0.988028731	0.07913312737
403	0.988028731	0.07912201512
404	0.988028731	0.07897324497
405	0.988028731	0.07894839616
406	0.988028731	0.07874638465
407	0.988028731	0.07854001958
408	0.9872306464	0.07828463884
409	0.988028731	0.07808629285
410	0.9872306464	0.07795950973
411	0.988028731	0.07752264317
412	0.988028731	0.07751210328
413	0.9872306464	0.07737455497
414	0.9872306464	0.07731538302
415	0.988028731	0.07723700058
416	0.9872306464	0.07697070244
417	0.9872306464	0.07696154473
418	0.9872306464	0.07694877022
419	0.9872306464	0.07676454439
420	0.9872306464	0.07662071843
421	0.9872306464	0.07644190564
422	0.9872306464	0.07618688414
423	0.9872306464	0.07601430639
424	0.9872306464	0.07586261965
425	0.9872306464	0.0756725363
426	0.9872306464	0.07537049022
427	0.9872306464	0.0753339568
428	0.9872306464	0.07516076407
429	0.9872306464	0.07486449635
430	0.9872306464	0.0748405487
431	0.9872306464	0.0746977335
432	0.9872306464	0.0744350887
433	0.9872306464	0.07423122007
434	0.9872306464	0.07405193843
435	0.9872306464	0.07400009752
436	0.9872306464	0.07384213313
437	0.9872306464	0.07367644801
438	0.988028731	0.07343230738
439	0.988028731	0.07342297919
440	0.988028731	0.07332568462
441	0.988028731	0.07317924043
442	0.988028731	0.072983604
443	0.988028731	0.07268725713
444	0.9888268156	0.0725093394
445	0.9904229848	0.07207981606
446	0.9904229848	0.07200025237
447	0.9912210694	0.0717365481
448	0.9912210694	0.07157671442
449	0.9912210694	0.07147907278
450	0.9912210694	0.07119635287
451	0.9912210694	0.07067187919
452	0.9912210694	0.07047914108
453	0.9912210694	0.07040293847
454	0.9912210694	0.07011956704
455	0.9912210694	0.06995682286
456	0.9912210694	0.06977315722
457	0.9912210694	0.06971365646
458	0.9912210694	0.06970631934
459	0.9912210694	0.0695484341
460	0.9912210694	0.06916731144
461	0.9912210694	0.06908945874
462	0.9912210694	0.06889071697
463	0.9912210694	0.06867652156
464	0.9912210694	0.06857493432
465	0.9912210694	0.06855446343
